hydrex_epoch,aero_epoch,epoch_start,epoch_end,pair,pool_address,tvl_start_usd,tvl_end_usd,tvl_avg_usd,volume_usd,fees_usd,ohydx_distributed,hydx_price_at_report,incentives_usd,fees_tvl_pct,volume_tvl_pct,fees_volume_pct,tvl_per_incentive_usd,fees_per_incentive_usd
40,147,2026-06-18,2026-06-25,UP/WETH,0x1110d6aa4fd324f2836d618609105bb8935bbf4a,1572.13,1460.02,1516.08,2669.36,28.09,5561.8811,0.03027,117.85,1.8528,176.0704,1.0523,12.86,0.2384
40,147,2026-06-18,2026-06-25,BASEAI/USDC,0xB38ebed77331641FfD84312f1f8bF0A4ae8BC2cC,97.94,72.91,85.42,73.58,3.52,694.228,0.03027,14.71,4.1206,86.134,4.7839,5.81,0.2393
40,147,2026-06-18,2026-06-25,VELVET/WETH,0x77D190B97B20161345AC718c93f530E8a7A4800b,660.48,1820.29,1240.38,32878.48,199.29,8539.7273,0.03027,180.95,16.0668,2650.6673,0.6061,6.85,1.1014
40,147,2026-06-18,2026-06-25,MOCA/WETH,0x3e172Af5f0dcA7b8D183D2Ec7Bc14D8Cab2216A8,636.9,904.02,770.46,1515.62,5.36,5544.2864,0.03027,117.48,0.6957,196.7162,0.3537,6.56,0.0456
40,147,2026-06-18,2026-06-25,BIO/WETH,0x4BFf50D91BC2fDE06f31A91a781bd461f69e9BD8,1887.46,1167.85,1527.65,4202.65,21.54,5541.0071,0.03027,117.41,1.41,275.1047,0.5125,13.01,0.1835
40,147,2026-06-18,2026-06-25,VVV/cbBTC,0xB651439c9B086c7B4399C623e54dEeBCb3905f17,98.04,937.07,517.56,20048.35,60.2,3650.2106,0.03027,77.34,11.6316,3873.6656,0.3003,6.69,0.7783
40,147,2026-06-18,2026-06-25,cbADA/cbBTC,0xe8C3C7f1f845bc17E6964D42D84B21F97b12FCC0,92.2,1785.63,938.92,10712.43,19.94,3650.2106,0.03027,77.34,2.1237,1140.9371,0.1861,12.14,0.2578
40,147,2026-06-18,2026-06-25,DEGEN/USDC,0xd2dd277feeec88405db3741239b0a9a96d01692d,96.26,96.26,96.26,40.24,0.12,0.0,0.03027,0.0,0.1247,41.8034,0.2982,0,0
41,148,2026-06-25,2026-07-02,USDC/VVV,0x02107bab40bba06ae979a15f67b5ad3853c5e116,29268.92,24157.86,26713.39,81292.82,285.69,48805.8241,0.02935,1002.72,1.0695,304.3149,0.3514,26.64,0.2849
41,148,2026-06-25,2026-07-02,USDC/ZEN,0x415233bf9b9156d4f777d580e67c0a4e398a84c3,2257.51,2144.55,2201.03,3505.51,10.43,233.7239,0.02935,4.8,0.4739,159.2668,0.2975,458.37,2.1721
41,148,2026-06-25,2026-07-02,WETH/CHECK,0x567b69f72c0a2689c9be0cfba576af3caa896cb2,44.04,1502.07,773.05,21639.6,107.65,3742.1329,0.02935,76.88,13.9253,2799.2316,0.4975,10.06,1.4002
41,148,2026-06-25,2026-07-02,WETH/NOCK,0x467a8846e7b54eac5d4d1cb2fdc9b8752212ff0e,3859.5,5705.82,4782.66,85277.67,366.21,33259.5049,0.02935,683.32,7.657,1783.0594,0.4294,7.0,0.5359
41,148,2026-06-25,2026-07-02,LFI/USDC,0x53ab4c60ff04b782f630a8685af95404f099aafd,10329.85,19337.24,14833.55,25792.61,318.69,19196.9128,0.02935,394.4,2.1484,173.8803,1.2356,37.61,0.808
41,148,2026-06-25,2026-07-02,AORA/USDC,0x7b5b9ac36bef2e808a02568704f651c607634c4b,207.43,8.75,108.09,71.35,0.95,823.1603,0.02935,16.91,0.8789,66.0098,1.3315,6.39,0.0562
41,148,2026-06-25,2026-07-02,DRB/WETH,0xa9a12101beddf0950c65c32a915ae21db002623d,604.13,270.94,437.53,15.19,0.17,458.3192,0.02935,9.42,0.0389,3.4717,1.1192,46.47,0.0181
41,148,2026-06-25,2026-07-02,DIEM/USDC,0xe6D1dABdDDb884c20C0eFF3c50FBa364e6C14399,313.85,312.88,313.37,379.47,1.33,208.5849,0.02935,4.29,0.4244,121.0952,0.3505,73.12,0.3104
41,148,2026-06-25,2026-07-02,HOME/USDC,0x3343646E7d40099F1456405859F6c28A40423BbD,753.49,633.15,693.32,612.82,1.84,2710.9022,0.02935,55.7,0.2654,88.3892,0.3003,12.45,0.033
